Timestep,Area,MPA,Size,MoltM,ProbDoubleMolt,ProbMolt_D1,ProbMolt_D2,ProbMolt_D3,ProbMolt_D4,ProbMolt_D5,ProbMolt_D6,ProbMolt_D7
1,1,1,153,0.05,0,0,0,0,0,0,0,0
1,1,1,154,0.05,0,0,0,0,0,0,0,0
1,1,1,155,0.05,0,0,0,0,0,0,0,0
1,1,1,156,0.05,0,0,0,0,0,0,0,0
1,1,1,157,0.05,0,0,0,0,0,0,0,0
1,1,1,158,0.05,0,0,0,0,0,0,0,0
1,1,1,159,0.05,0,0,0,0,0,0,0,0
1,1,1,160,0.05,0,0,0,0,0,0,0,0
1,1,1,161,0.05,0,0,0,0,0,0,0,0
1,1,1,162,0.05,0,0,0,0,0,0,0,0
1,1,1,163,0.05,0,0,0,0,0,0,0,0
1,1,1,164,0.05,0,0,0,0,0,0,0,0
1,1,1,165,0.05,0,0,0,0,0,0,0,0
1,1,1,166,0.05,0,0,0,0,0,0,0,0
1,1,1,167,0.05,0,0,0,0,0,0,0,0
1,1,1,168,0.05,0,0,0,0,0,0,0,0
1,1,1,169,0.05,0,0,0,0,0,0,0,0
1,1,1,170,0.05,0,0,0,0,0,0,0,0
1,1,1,171,0.05,0,0,0,0,0,0,0,0
1,1,1,172,0.05,0,0,0,0,0,0,0,0
1,1,1,173,0.05,0,0,0,0,0,0,0,0
1,1,1,174,0.05,0,0,0,0,0,0,0,0
1,1,1,175,0.05,0,0,0,0,0,0,0,0
1,1,1,176,0.05,0,0,0,0,0,0,0,0
1,1,1,177,0.05,0,0,0,0,0,0,0,0
1,1,1,178,0.05,0,0,0,0,0,0,0,0
1,1,1,179,0.05,0,0,0,0,0,0,0,0
1,1,1,180,0.05,0,0,0,0,0,0,0,0
1,1,1,181,0.05,0,0,0,0,0,0,0,0
1,1,1,182,0.05,0,0,0,0,0,0,0,0
1,1,1,183,0.05,0,0,0,0,0,0,0,0
1,1,1,184,0.05,0,0,0,0,0,0,0,0
1,1,1,185,0.05,0,0,0,0,0,0,0,0
1,1,1,186,0.05,0,0,0,0,0,0,0,0
1,1,1,187,0.05,0,0,0,0,0,0,0,0
1,1,1,188,0.05,0,0,0,0,0,0,0,0
1,1,1,189,0.05,0,0,0,0,0,0,0,0
1,1,1,190,0.05,0,0,0,0,0,0,0,0
1,1,1,191,0.05,0,0,0,0,0,0,0,0
1,1,1,192,0.05,0,0,0,0,0,0,0,0
1,1,1,193,0.05,0,0,0,0,0,0,0,0
1,1,1,194,0.05,0,0,0,0,0,0,0,0
1,1,1,195,0.05,0,0,0,0,0,0,0,0
1,1,1,196,0.05,0,0,0,0,0,0,0,0
1,1,1,197,0.05,0,0,0,0,0,0,0,0
1,1,1,198,0.05,0,0,0,0,0,0,0,0
1,1,1,199,0.05,0,0,0,0,0,0,0,0
1,1,1,200,0.05,0,0,0,0,0,0,0,0
1,1,1,201,0.05,0,0,0,0,0,0,0,0
1,1,1,202,0.05,0,0,0,0,0,0,0,0
1,1,1,203,0.05,0,0,0,0,0,0,0,0
1,1,1,204,0.05,0,0,0,0,0,0,0,0
1,1,1,205,0.05,0,0,0,0,0,0,0,0
1,1,1,206,0.05,0,0,0,0,0,0,0,0
1,1,1,207,0.05,0,0,0,0,0,0,0,0
1,1,1,208,0.05,0,0,0,0,0,0,0,0
1,1,1,209,0.05,0,0,0,0,0,0,0,0
1,1,1,210,0.05,0,0,0,0,0,0,0,0
1,1,1,211,0.05,0,0,0,0,0,0,0,0
1,1,1,212,0.05,0,0,0,0,0,0,0,0
1,1,1,213,0.05,0,0,0,0,0,0,0,0
1,1,1,214,0.05,0,0,0,0,0,0,0,0
1,1,1,215,0.05,0,0,0,0,0,0,0,0
1,1,1,216,0.05,0,0,0,0,0,0,0,0
1,1,1,217,0.05,0,0,0,0,0,0,0,0
1,1,1,218,0.05,0,0,0,0,0,0,0,0
1,1,1,219,0.05,0,0,0,0,0,0,0,0
