Timestep ,Area,Sex,SizeClass,EnRate_1982,EnRate_1983,EnRate_1984,EnRate_1985,EnRate_1986,EnRate_1987,EnRate_1988,EnRate_1989,EnRate_1990,EnRate_1991,EnRate_1992,EnRate_1993,EnRate_1994,EnRate_1995,EnRate_1996,EnRate_1997,EnRate_1998,EnRate_1999,EnRate_2000,EnRate_2001,EnRate_2002,EnRate_2003,EnRate_2004,EnRate_2005,EnRate_2006,EnRate_2007,EnRate_2008,EnRate_2009,EnRate_2010,EnRate_2011,EnRate_2012,EnRate_2013
1,1,0,113,0.64630463,0.377533028,0.28449345,0.203905484,0.329607082,0.366967441,0.248064621,0.227744943,0.255644045,0.288032285,0.345296021,0.470546247,0.281731531,0.182874644,0.225735583,0.238675326,0.267290884,0.303255346,0.209996769,0.250826754,0.220827541,0.216978937,0.290336837,0.273985544,0.326938643,0.206055476,0.270478478,0.242216198,0.192989296,0.201177856,0.24327799,0.20586463
1,1,0,118,0.643772393,0.374136566,0.282435093,0.202425104,0.326045227,0.366967311,0.248064103,0.227743945,0.252844692,0.284566184,0.345295936,0.467199127,0.280364615,0.181970548,0.22438674,0.237177217,0.266055046,0.302475687,0.209604243,0.248658885,0.219965945,0.215333345,0.287530426,0.272711656,0.325186618,0.204560952,0.269227624,0.241196347,0.192324443,0.200458666,0.242252006,0.205486726
1,1,0,123,0.641231873,0.373007814,0.281749613,0.202055738,0.325157802,0.365874336,0.247523423,0.227744489,0.251731288,0.283186343,0.345296398,0.467198818,0.280364776,0.181669509,0.223938514,0.237176915,0.265438744,0.302474976,0.209213787,0.248119734,0.219966512,0.214513251,0.286831414,0.272076105,0.324313181,0.204189321,0.268603987,0.240688032,0.191992061,0.200100601,0.241739814,0.205109749
1,1,0,128,0.517704252,0.324238922,0.253351798,0.186585141,0.286666292,0.316330021,0.222733421,0.206375465,0.22769397,0.253915658,0.299339867,0.393081699,0.250072366,0.168655175,0.204485021,0.215123017,0.23824956,0.267425479,0.191888216,0.224859231,0.200901899,0.196518517,0.255533991,0.243040883,0.285737263,0.187464389,0.241327655,0.218888381,0.17750978,0.184358293,0.219458602,0.188343239
1,1,0,133,0.479405174,0.309842647,0.244608661,0.18198517,0.275568733,0.302254724,0.215779111,0.200428132,0.220273138,0.245149437,0.286742845,0.371925756,0.241309335,0.164798072,0.198945324,0.208681475,0.230400519,0.257501907,0.186829499,0.218077649,0.195294896,0.190901693,0.246009743,0.234383399,0.273670845,0.182268453,0.233125905,0.212058581,0.173081614,0.179727855,0.212672047,0.18326188
1,1,0,138,0.478639919,0.309266906,0.244148319,0.181762048,0.275065911,0.302157672,0.215752268,0.200415384,0.219957808,0.244585705,0.286690633,0.371321529,0.241051392,0.164646304,0.198719498,0.208504961,0.230213052,0.257311742,0.186693892,0.217813168,0.195128663,0.190704501,0.245685187,0.234169955,0.273176202,0.18212552,0.23287418,0.21183117,0.172906573,0.179531746,0.212384524,0.183141873
1,1,0,143,0.477846071,0.308801044,0.243735319,0.181562564,0.27463966,0.302084605,0.215727232,0.200404145,0.219714397,0.244201292,0.286667489,0.37092761,0.240891338,0.164529675,0.198572459,0.208362161,0.230065409,0.257174503,0.186600393,0.217585408,0.194995855,0.190544692,0.245454108,0.233961246,0.272819828,0.182031722,0.232697937,0.211674591,0.172787669,0.179398522,0.212186241,0.183070396
1,1,0,148,0.477333391,0.308401564,0.243379034,0.181389595,0.274269727,0.302048378,0.215715099,0.200397623,0.219465835,0.243875555,0.286656,0.370698771,0.24076649,0.164419327,0.198452304,0.20826453,0.229961954,0.257091222,0.186529457,0.217429494,0.194905076,0.190409883,0.24525746,0.233813939,0.272528843,0.181920323,0.232520039,0.211516413,0.172671065,0.179293886,0.211995889,0.183014167
1,1,0,153,0.476554602,0.307886041,0.242924621,0.181167465,0.273798338,0.301989887,0.215697261,0.200388269,0.219151166,0.243367682,0.286630183,0.370299137,0.240660797,0.164299148,0.198284895,0.208152178,0.229843162,0.256991955,0.18644818,0.217224552,0.194804023,0.190231456,0.244957113,0.233619801,0.27211131,0.181789808,0.232320305,0.211339457,0.172542401,0.179125169,0.21178574,0.182935646
1,1,0,158,0.475793537,0.307315923,0.242371943,0.180919672,0.273218804,0.3018998,0.215674344,0.200373748,0.218769969,0.242695574,0.286599825,0.36977974,0.240520471,0.164161105,0.198082917,0.207992877,0.229700915,0.256872031,0.186355859,0.216952895,0.194667237,0.189974169,0.244619403,0.233368779,0.271706541,0.181617326,0.232082562,0.211125602,0.172366897,0.178955027,0.211515657,0.18285647
1,1,0,163,0.47500273,0.306743873,0.24187393,0.180670343,0.272698974,0.301806124,0.21565196,0.200362048,0.218401016,0.24209069,0.286562792,0.369272892,0.240377119,0.164034221,0.197893637,0.207840435,0.229547635,0.256741679,0.186268509,0.216725944,0.194553964,0.189734048,0.244304286,0.233160522,0.271283166,0.181433427,0.231852484,0.210918922,0.172219033,0.178768948,0.211288118,0.182766295
1,1,0,168,0.474498248,0.306412863,0.241580531,0.180509974,0.27235347,0.301742331,0.21563481,0.200352158,0.218176313,0.241722211,0.286532138,0.368865222,0.240276452,0.163944395,0.197759029,0.207752251,0.229453509,0.256651694,0.186200278,0.216564527,0.194461715,0.189614452,0.244097901,0.233005448,0.271047675,0.181342783,0.231719599,0.210772821,0.171939108,0.178477694,0.210870091,0.182599386
1,1,0,173,0.474194721,0.306210285,0.241405418,0.180425474,0.272179602,0.301708508,0.215623494,0.200347196,0.218059142,0.241530469,0.286521909,0.3687361,0.240225277,0.16390772,0.197705,0.207709415,0.229408292,0.256606829,0.186171338,0.216491951,0.194423119,0.189548704,0.243999563,0.232933491,0.270913006,0.181293986,0.230784369,0.209892891,0.171939108,0.178477694,0.210870091,0.182599386
1,1,0,178,0.474059916,0.306140417,0.241339123,0.180400168,0.272115148,0.301714292,0.215620339,0.200344221,0.218014437,0.241463997,0.286516691,0.368828146,0.240217473,0.163908148,0.197715048,0.207712454,0.229408648,0.256606799,0.186173853,0.216486248,0.194422968,0.189538996,0.243980639,0.232919863,0.270879382,0.18128779,0.230784369,0.209892891,0.171939108,0.178477694,0.210870091,0.182599386
1,1,0,183,0.474043027,0.306134142,0.24133533,0.180404428,0.272110243,0.301737524,0.215617889,0.200345129,0.21800867,0.241463884,0.286522038,0.369040472,0.240232822,0.163929066,0.197758863,0.207746573,0.229437612,0.256634793,0.18619284,0.216521639,0.194443651,0.189564901,0.244003543,0.232936726,0.270908029,0.181309108,0.230784369,0.209892891,0.171939108,0.178477694,0.210870091,0.182599386
