,a,b
488,5.921546918,-2.28E-08
489,4.86334908,-2.71E-08
490,3.383185603,-4.67E-08
491,9.291569316,3.84E-09
492,12.87457482,3.54E-08
493,9.745643113,7.58E-09
494,7.859092735,-9.43E-09
495,11.73418956,3.83E-08
496,3.903636315,-4.06E-08
497,8.71480829,5.31E-09
498,12.92285577,4.60E-08
499,5.624307492,-3.87E-08
500,8.464180769,1.91E-09
501,6.811295158,-5.23E-09
502,3.940967805,-4.91E-08
503,7.769333866,1.03E-08
504,7.704922897,-5.73E-09
505,3.903944357,-5.07E-08
506,8.38007717,1.32E-08
507,9.45510875,1.72E-08
508,11.88530076,6.10E-08
509,4.588728239,-2.90E-08
510,4.376871799,-2.76E-08
511,12.01031349,2.80E-08
512,7.610416792,-8.38E-10
513,11.58123006,1.59E-08
514,3.690482342,-4.37E-08
515,10.51894267,1.79E-08
516,4.565809163,-4.40E-08
517,7.192251015,-8.20E-09
518,5.375373422,-1.55E-08
519,8.848046329,-1.90E-09
520,4.361120615,-2.10E-08
521,3.626017011,-6.00E-08
522,4.875253699,-1.52E-08
523,4.368315282,-3.22E-08
524,7.358794615,-2.09E-08
525,5.126678541,-2.83E-08
526,4.43605834,-4.27E-08
527,4.801606069,-4.23E-08
528,4.477318098,-4.31E-08
529,6.920982353,-2.16E-08
530,4.522876918,-3.24E-08
531,6.529322419,-1.24E-08
532,5.289889924,-2.79E-08
533,3.915411341,-3.72E-08
534,7.000645941,-1.11E-08
535,5.002535131,-2.74E-08
536,6.107531259,-1.20E-08
537,8.890869686,5.28E-09
538,6.970323943,-1.67E-08
539,6.047188383,-3.40E-08
540,8.592061015,4.50E-09
541,6.823464119,-1.55E-08
542,5.409272555,-2.67E-08
543,7.24791263,-1.97E-08
544,8.139818336,-1.65E-09
545,8.571935749,4.64E-09
546,9.323877479,1.55E-08
547,6.733011884,7.64E-09
548,6.930454311,-1.82E-08
549,9.709040801,1.68E-08
550,5.792747179,-1.90E-08
